video_name,frame,isUsingCubic,Err
20231117_140723_990,150,no,10.159007
20231117_140723_990,200,no,11.727756
20231117_140723_990,250,no,14.928790
20231117_140723_990,300,no,8.256424
20231117_140723_990,350,no,9.873288
20231117_140723_990,400,no,11.714129
20231117_140917_210,0,no,12.959447
20231117_140917_210,50,no,9.011609
20231117_140917_210,100,no,5.146581
20231117_140917_210,150,no,6.687651
20231117_140857_164,0,no,8.184840
20231117_140857_164,50,no,8.034324
20231117_140857_164,100,no,8.782962
20231117_140857_164,150,no,17.329522
20231117_140934_116,0,no,4.201007
20231117_140934_116,50,no,5.935903
20231117_140934_116,100,no,9.425429
20231117_140934_116,150,no,10.202487
20231117_140934_116,200,no,10.228038
20231117_140934_116,250,no,9.075394
20231117_140934_116,300,no,7.061429
20231117_140934_116,350,no,9.265404
20231117_140934_116,400,no,6.907941
