Filename,Operation,Time_s,Mode,keypoints
N/A,Model_Inference,0.011298,fp32,273
2024-07-11_14-03-31_EO,Model_Inference,0.011391,fp32,421
N/A,Model_Inference,0.199681,fp32,273
N/A,Model_Inference,1.135482,fp32,273
N/A,Model_Inference,0.011244,fp32,273
N/A,Model_Inference,0.011268,fp32,273
N/A,Model_Inference,0.011341,fp32,273
N/A,Model_Inference,0.011450,fp32,273
N/A,Model_Inference,0.011281,fp32,273
N/A,Model_Inference,0.011331,fp32,273
N/A,Model_Inference,0.011307,fp32,273
N/A,Model_Inference,0.011284,fp32,273
2024-07-10_15-54-07_EO,Model_Inference,0.011314,fp32,237
N/A,Model_Inference,0.196824,fp32,273
N/A,Model_Inference,1.135332,fp32,273
N/A,Model_Inference,0.011379,fp32,273
N/A,Model_Inference,0.011286,fp32,273
N/A,Model_Inference,0.011322,fp32,273
N/A,Model_Inference,0.011391,fp32,273
N/A,Model_Inference,0.011262,fp32,273
N/A,Model_Inference,0.011288,fp32,273
N/A,Model_Inference,0.011247,fp32,273
N/A,Model_Inference,0.011285,fp32,273
2024-07-10_15-43-56_EO,Model_Inference,0.011293,fp32,285
N/A,Model_Inference,0.195054,fp32,273
N/A,Model_Inference,1.139178,fp32,273
N/A,Model_Inference,0.011334,fp32,273
N/A,Model_Inference,0.011373,fp32,273
N/A,Model_Inference,0.011384,fp32,273
N/A,Model_Inference,0.011914,fp32,273
N/A,Model_Inference,0.011554,fp32,273
N/A,Model_Inference,0.011354,fp32,273
N/A,Model_Inference,0.011331,fp32,273
N/A,Model_Inference,0.011269,fp32,273
2024-07-10_15-52-37_EO,Model_Inference,0.011294,fp32,264
N/A,Model_Inference,0.197921,fp32,273
N/A,Model_Inference,1.129918,fp32,273
N/A,Model_Inference,0.011287,fp32,273
N/A,Model_Inference,0.011406,fp32,273
N/A,Model_Inference,0.011342,fp32,273
N/A,Model_Inference,0.011459,fp32,273
N/A,Model_Inference,0.011302,fp32,273
N/A,Model_Inference,0.011339,fp32,273
N/A,Model_Inference,0.011306,fp32,273
N/A,Model_Inference,0.011253,fp32,273
2024-07-11_14-16-32_EO,Model_Inference,0.011309,fp32,410
N/A,Model_Inference,0.198310,fp32,273
N/A,Model_Inference,1.133295,fp32,273
N/A,Model_Inference,0.011267,fp32,273
N/A,Model_Inference,0.011258,fp32,273
N/A,Model_Inference,0.011310,fp32,273
N/A,Model_Inference,0.011378,fp32,273
N/A,Model_Inference,0.011331,fp32,273
N/A,Model_Inference,0.011389,fp32,273
N/A,Model_Inference,0.011267,fp32,273
N/A,Model_Inference,0.011325,fp32,273
2024-07-10_15-41-46_EO,Model_Inference,0.011357,fp32,375
N/A,Model_Inference,0.200229,fp32,273
N/A,Model_Inference,1.131578,fp32,273
N/A,Model_Inference,0.011335,fp32,273
N/A,Model_Inference,0.011277,fp32,273
N/A,Model_Inference,0.011352,fp32,273
N/A,Model_Inference,0.011332,fp32,273
N/A,Model_Inference,0.011331,fp32,273
N/A,Model_Inference,0.011388,fp32,273
N/A,Model_Inference,0.011511,fp32,273
N/A,Model_Inference,0.012257,fp32,273
2024-07-10_15-43-03_EO,Model_Inference,0.014923,fp32,261
N/A,Model_Inference,0.215506,fp32,273
N/A,Model_Inference,1.136049,fp32,273
N/A,Model_Inference,0.011315,fp32,273
N/A,Model_Inference,0.011305,fp32,273
N/A,Model_Inference,0.011288,fp32,273
N/A,Model_Inference,0.011465,fp32,273
N/A,Model_Inference,0.011306,fp32,273
N/A,Model_Inference,0.011388,fp32,273
N/A,Model_Inference,0.011266,fp32,273
N/A,Model_Inference,0.011282,fp32,273
2024-07-10_15-40-03_EO,Model_Inference,0.011319,fp32,387
N/A,Model_Inference,0.202635,fp32,273
N/A,Model_Inference,1.159202,fp32,273
N/A,Model_Inference,0.011281,fp32,273
N/A,Model_Inference,0.011300,fp32,273
N/A,Model_Inference,0.011266,fp32,273
N/A,Model_Inference,0.011497,fp32,273
N/A,Model_Inference,0.011395,fp32,273
N/A,Model_Inference,0.011342,fp32,273
N/A,Model_Inference,0.011284,fp32,273
N/A,Model_Inference,0.011348,fp32,273
2024-07-10_15-51-45_EO,Model_Inference,0.011407,fp32,276
N/A,Model_Inference,0.206177,fp32,273
N/A,Model_Inference,1.144885,fp32,273
N/A,Model_Inference,0.011526,fp32,273
N/A,Model_Inference,0.011308,fp32,273
N/A,Model_Inference,0.011258,fp32,273
N/A,Model_Inference,0.011419,fp32,273
N/A,Model_Inference,0.011857,fp32,273
N/A,Model_Inference,0.012079,fp32,273
N/A,Model_Inference,0.011388,fp32,273
N/A,Model_Inference,0.011640,fp32,273
2024-07-10_15-40-53_EO,Model_Inference,0.011247,fp32,370
N/A,Model_Inference,0.203133,fp32,273
N/A,Model_Inference,1.144091,fp32,273
N/A,Model_Inference,0.011305,fp32,273
N/A,Model_Inference,0.011295,fp32,273
N/A,Model_Inference,0.011295,fp32,273
N/A,Model_Inference,0.011401,fp32,273
N/A,Model_Inference,0.011347,fp32,273
N/A,Model_Inference,0.011340,fp32,273
N/A,Model_Inference,0.011321,fp32,273
N/A,Model_Inference,0.011303,fp32,273
2024-07-11_14-13-12_EO,Model_Inference,0.011344,fp32,413
N/A,Model_Inference,0.204687,fp32,273
N/A,Model_Inference,1.150065,fp32,273
N/A,Model_Inference,0.011359,fp32,273
N/A,Model_Inference,0.011328,fp32,273
N/A,Model_Inference,0.011288,fp32,273
N/A,Model_Inference,0.011448,fp32,273
N/A,Model_Inference,0.011376,fp32,273
N/A,Model_Inference,0.011341,fp32,273
