Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-10-53,Model_Inference,0.012283,fp16,554
2024-07-10_15-40-53,Model_Inference,0.012123,fp16,379
2024-07-10_15-54-07,Model_Inference,0.012303,fp16,245
2024-07-11_14-13-12,Model_Inference,0.012335,fp16,422
2024-07-11_14-05-35,Model_Inference,0.012088,fp16,389
2024-07-11_14-17-18,Model_Inference,0.012060,fp16,373
2024-07-10_15-53-12,Model_Inference,0.012083,fp16,277
2024-07-11_14-06-07,Model_Inference,0.012102,fp16,362
2024-07-10_15-51-45,Model_Inference,0.012196,fp16,280
2024-07-10_15-38-54,Model_Inference,0.012405,fp16,407
2024-07-10_15-51-21,Model_Inference,0.012103,fp16,291
2024-07-11_14-04-22,Model_Inference,0.012311,fp16,493
2024-07-11_14-17-59,Model_Inference,0.012072,fp16,354
2024-07-10_15-52-37,Model_Inference,0.012064,fp16,276
2024-07-10_15-50-55,Model_Inference,0.012397,fp16,300
2024-07-10_15-48-15,Model_Inference,0.012112,fp16,290
2024-07-10_15-43-03,Model_Inference,0.012101,fp16,262
2024-07-11_14-15-08,Model_Inference,0.012110,fp16,369
2024-07-11_14-13-51,Model_Inference,0.012293,fp16,427
2024-07-11_14-18-28,Model_Inference,0.012200,fp16,368
2024-07-10_15-41-46,Model_Inference,0.012069,fp16,379
2024-07-11_14-03-31,Model_Inference,0.012221,fp16,430
2024-07-11_14-16-32,Model_Inference,0.012325,fp16,429
2024-07-11_14-14-24,Model_Inference,0.012104,fp16,406
2024-07-10_15-40-03,Model_Inference,0.012134,fp16,511
2024-07-10_15-51-48,Model_Inference,0.012187,fp16,317
2024-07-10_15-52-36,Model_Inference,0.012523,fp16,281
2024-07-10_15-43-56,Model_Inference,0.012156,fp16,357
2024-07-11_14-12-14,Model_Inference,0.012089,fp16,471
2024-07-11_14-19-12,Model_Inference,0.012130,fp16,353
2024-07-10_15-44-58,Model_Inference,0.012466,fp16,375
2024-07-11_14-02-35,Model_Inference,0.012179,fp16,583
2024-07-11_14-10-53,Model_Inference,0.012088,fp16,554
2024-07-10_15-40-53,Model_Inference,0.012198,fp16,398
2024-07-10_15-54-07,Model_Inference,0.012150,fp16,292
2024-07-11_14-13-12,Model_Inference,0.012250,fp16,491
2024-07-11_14-05-35,Model_Inference,0.012114,fp16,436
2024-07-11_14-17-18,Model_Inference,0.012188,fp16,403
2024-07-10_15-53-12,Model_Inference,0.012456,fp16,303
2024-07-11_14-06-07,Model_Inference,0.012297,fp16,436
2024-07-10_15-51-45,Model_Inference,0.012082,fp16,285
2024-07-10_15-38-54,Model_Inference,0.012229,fp16,450
2024-07-10_15-51-21,Model_Inference,0.012210,fp16,330
2024-07-11_14-04-22,Model_Inference,0.012095,fp16,541
2024-07-11_14-17-59,Model_Inference,0.012331,fp16,341
2024-07-10_15-52-37,Model_Inference,0.012149,fp16,289
2024-07-10_15-50-55,Model_Inference,0.012359,fp16,321
2024-07-10_15-48-15,Model_Inference,0.012085,fp16,319
2024-07-10_15-43-03,Model_Inference,0.012054,fp16,317
2024-07-11_14-15-08,Model_Inference,0.012144,fp16,401
