-------------------------,Round_1,-------------------------,-------------------------
2024-07-11_14-02-35,320*240,449,5.51129
2024-07-11_14-10-53,320*240,442,2.26947
2024-07-10_15-40-53,320*240,203,7.01132
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,278,6.95554
2024-07-11_14-05-35,320*240,216,20.3699
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,140,8.54787
2024-07-11_14-06-07,320*240,249,5.60007
2024-07-10_15-51-45,320*240,95,3.67666
2024-07-10_15-38-54,320*240,257,16.2334
2024-07-10_15-51-21,320*240,100,12.3639
2024-07-11_14-04-22,320*240,331,5.50765
2024-07-11_14-17-59,320*240,190,2.64273
2024-07-10_15-52-37,320*240,110,5.69385
2024-07-10_15-50-55,320*240,132,14.0306
2024-07-10_15-48-15,320*240,138,8.73118
2024-07-10_15-43-03,320*240,150,9.40284
2024-07-11_14-15-08,320*240,185,6.9475
2024-07-11_14-13-51,320*240,237,8.52513
2024-07-11_14-18-28,320*240,193,5.47571
2024-07-10_15-41-46,320*240,255,4.86182
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_8,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,216,3.93191
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,346,7.37331
2024-07-10_15-51-48,320*240,110,11.068
2024-07-10_15-52-36,320*240,120,3.34192
2024-07-10_15-43-56,320*240,222,2.1819
2024-07-11_14-12-14,320*240,308,22.1518
2024-07-11_14-19-12,320*240,156,6.20865
2024-07-10_15-44-58,320*240,159,10.1881
2024-07-11_14-02-35,320*240,431,6.61201
2024-07-11_14-10-53,320*240,376,6.75187
2024-07-10_15-40-53,320*240,203,7.01132
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,247,19.3654
2024-07-11_14-17-18,320*240,227,7.62954
2024-07-10_15-53-12,320*240,140,8.55105
2024-07-11_14-06-07,320*240,248,5.79587
2024-07-10_15-51-45,320*240,95,3.67666
2024-07-10_15-38-54,320*240,270,20.8794
2024-07-10_15-51-21,320*240,100,12.3639
2024-07-11_14-04-22,320*240,370,6.28607
2024-07-11_14-17-59,320*240,189,2.80722
2024-07-10_15-52-37,320*240,114,5.04634
2024-07-10_15-50-55,320*240,126,8.88402
2024-07-10_15-48-15,320*240,152,6.67838
2024-07-10_15-43-03,320*240,167,2.17057
2024-07-11_14-15-08,320*240,161,17.1057
2024-07-11_14-13-51,320*240,224,8.44044
2024-07-11_14-18-28,320*240,181,15.0451
2024-07-10_15-41-46,320*240,257,3.80562
2024-07-11_14-03-31,320*240,282,6.15057
-------------------------,Round_9,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,191,7.80702
2024-07-10_15-40-03,320*240,346,7.37331
2024-07-10_15-51-48,320*240,107,14.4297
2024-07-10_15-52-36,320*240,108,3.13704
2024-07-10_15-43-56,320*240,254,0.830787
2024-07-11_14-12-14,320*240,284,33.3306
2024-07-11_14-19-12,320*240,155,9.1665
2024-07-10_15-44-58,320*240,151,10.8552
2024-07-11_14-02-35,320*240,450,5.45811
2024-07-11_14-10-53,320*240,402,3.61667
2024-07-10_15-40-53,320*240,234,3.06342
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,256,15.0945
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,150,11.0994
2024-07-11_14-06-07,320*240,268,1.0178
2024-07-10_15-51-45,320*240,101,19.4525
2024-07-10_15-38-54,320*240,257,16.2334
2024-07-10_15-51-21,320*240,93,47.1271
2024-07-11_14-04-22,320*240,370,6.28607
2024-07-11_14-17-59,320*240,190,2.64273
2024-07-10_15-52-37,320*240,109,4.69171
2024-07-10_15-50-55,320*240,151,7.95175
2024-07-10_15-48-15,320*240,138,8.73118
2024-07-10_15-43-03,320*240,144,8.40359
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,234,6.02931
2024-07-11_14-18-28,320*240,185,6.93882
2024-07-10_15-41-46,320*240,233,5.79928
2024-07-11_14-03-31,320*240,269,3.6198
-------------------------,Round_10,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,186,7.40523
2024-07-10_15-40-03,320*240,319,12.628
2024-07-10_15-51-48,320*240,107,14.4297
