Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-19-12,0.010146,350
2024-07-10_15-44-58,0.010234,372
2024-07-11_14-02-35,0.010139,579
2024-07-11_14-10-53,0.010174,554
2024-07-10_15-40-53,0.010107,398
2024-07-10_15-54-07,0.010147,293
2024-07-11_14-13-12,0.010114,489
2024-07-11_14-05-35,0.0101,428
2024-07-11_14-17-18,0.010323,403
2024-07-10_15-53-12,0.010297,297
2024-07-11_14-06-07,0.010196,435
2024-07-10_15-51-45,0.010144,284
2024-07-10_15-38-54,0.010187,449
2024-07-10_15-51-21,0.010145,329
2024-07-11_14-04-22,0.010106,540
2024-07-11_14-17-59,0.01016,339
2024-07-10_15-52-37,0.010119,289
2024-07-10_15-50-55,0.010111,319
2024-07-10_15-48-15,0.010109,321
2024-07-10_15-43-03,0.01011,319
2024-07-11_14-15-08,0.010107,403
2024-07-11_14-13-51,0.010121,443
2024-07-11_14-18-28,0.01012,379
2024-07-10_15-41-46,0.010104,404
2024-07-11_14-03-31,0.010153,492
2024-07-11_14-16-32,0.015101,427
2024-07-11_14-14-24,0.010164,406
2024-07-10_15-40-03,0.010173,506
2024-07-10_15-51-48,0.010178,314
2024-07-10_15-52-36,0.010161,282
2024-07-10_15-43-56,0.010176,354
2024-07-11_14-12-14,0.010199,473
2024-07-11_14-19-12,0.010172,351
2024-07-10_15-44-58,0.010228,374
2024-07-11_14-02-35,0.010177,579
2024-07-11_14-10-53,0.010196,557
2024-07-10_15-40-53,0.010171,399
2024-07-10_15-54-07,0.010176,292
2024-07-11_14-13-12,0.01019,490
2024-07-11_14-05-35,0.010184,432
2024-07-11_14-17-18,0.010199,403
2024-07-10_15-53-12,0.010214,297
2024-07-11_14-06-07,0.010251,436
2024-07-10_15-51-45,0.010245,282
2024-07-10_15-38-54,0.010326,451
2024-07-10_15-51-21,0.010203,328
2024-07-11_14-04-22,0.010282,540
2024-07-11_14-17-59,0.010265,339
2024-07-10_15-52-37,0.010156,289
2024-07-10_15-50-55,0.010194,320
2024-07-10_15-48-15,0.010188,323
2024-07-10_15-43-03,0.010189,318
2024-07-11_14-15-08,0.010175,402
2024-07-11_14-13-51,0.010145,443
2024-07-11_14-18-28,0.010131,378
2024-07-10_15-41-46,0.010173,405
2024-07-11_14-03-31,0.010164,491
2024-07-11_14-16-32,0.014824,426
2024-07-11_14-14-24,0.010127,406
2024-07-10_15-40-03,0.010137,507
2024-07-10_15-51-48,0.010143,316
2024-07-10_15-52-36,0.010127,281
2024-07-10_15-43-56,0.010131,354
2024-07-11_14-12-14,0.010195,472
2024-07-11_14-19-12,0.010119,351
2024-07-10_15-44-58,0.010115,374
2024-07-11_14-02-35,0.01012,580
2024-07-11_14-10-53,0.010153,557
2024-07-10_15-40-53,0.010134,399
2024-07-10_15-54-07,0.010126,293
2024-07-11_14-13-12,0.010119,489
2024-07-11_14-05-35,0.010137,431
2024-07-11_14-17-18,0.010133,403
2024-07-10_15-53-12,0.010123,298
2024-07-11_14-06-07,0.010116,436
2024-07-10_15-51-45,0.010124,282
2024-07-10_15-38-54,0.010159,451
2024-07-10_15-51-21,0.010186,328
2024-07-11_14-04-22,0.010139,541
2024-07-11_14-17-59,0.010149,339
2024-07-10_15-52-37,0.010123,288
2024-07-10_15-50-55,0.010118,319
2024-07-10_15-48-15,0.010131,322
2024-07-10_15-43-03,0.010217,318
2024-07-11_14-15-08,0.010216,402
2024-07-11_14-13-51,0.010279,443
2024-07-11_14-18-28,0.010112,379
2024-07-10_15-41-46,0.010115,404
2024-07-11_14-03-31,0.010111,490
2024-07-11_14-16-32,0.014884,426
2024-07-11_14-14-24,0.010124,407
2024-07-10_15-40-03,0.010138,507
2024-07-10_15-51-48,0.010127,317
2024-07-10_15-52-36,0.010131,283
2024-07-10_15-43-56,0.010129,355
2024-07-11_14-12-14,0.010178,472
2024-07-11_14-19-12,0.010134,351
2024-07-10_15-44-58,0.010138,373
2024-07-11_14-02-35,0.010144,579
2024-07-11_14-10-53,0.010138,556
2024-07-10_15-40-53,0.010121,399
2024-07-10_15-54-07,0.010117,293
2024-07-11_14-13-12,0.010155,489
2024-07-11_14-05-35,0.010119,431
2024-07-11_14-17-18,0.010147,403
2024-07-10_15-53-12,0.010139,297
2024-07-11_14-06-07,0.010141,437
2024-07-10_15-51-45,0.010108,282
2024-07-10_15-38-54,0.01012,449
2024-07-10_15-51-21,0.010128,329
2024-07-11_14-04-22,0.010182,541
2024-07-11_14-17-59,0.010196,339
2024-07-10_15-52-37,0.010168,288
2024-07-10_15-50-55,0.010107,319
2024-07-10_15-48-15,0.01012,323
2024-07-10_15-43-03,0.0101,319
2024-07-11_14-15-08,0.010143,402
2024-07-11_14-13-51,0.010133,441
2024-07-11_14-18-28,0.0101,378
2024-07-10_15-41-46,0.010112,404
2024-07-11_14-03-31,0.010171,491
2024-07-11_14-16-32,0.0149,427
2024-07-11_14-14-24,0.010251,409
2024-07-10_15-40-03,0.010135,507
2024-07-10_15-51-48,0.01016,316
2024-07-10_15-52-36,0.010149,282
2024-07-10_15-43-56,0.010159,354
2024-07-11_14-12-14,0.01014,472
